"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Museo de La Plata","","Paseo del Bosque, 1900 La Plata","","","","","","Argentina"
"Muzeum Przyrodnicze Uniwersytetu Jagiellonskiego","","ul. Krupnicza 50, Kraków","","","","","","Poland"
"Staatliches Museum fuer Naturkund Stuttgart","","Rosenstein 1, D-70191 Stuttgart","","","","","","Germany"
"Institut d'Estudis Ilerdencs","","Plaa Catedral s/n, Lleida 25002","","","","","","Spain"
"Paleo-Vertebrate Collection","","Gunma Museum of Natural History","","","","","","Japan"
"Collage of Eastern Utah","","Prehistoric Museum, Price, Utah","","","","","",""
"South African National Biodiversity Institute","","Private Bag X101 Pretoria  0001","","","","","","South Africa"
"University of Stellenbosch","","Stellenbosch, Western Cape 7600","","","","","","South Africa"
"Botanical Garden of Osnabruck University","","Albrechtstr. 29, 49076 Osnabrck","","","","","","Germany"
"Plant Pathology, The Royal Horticultural Society","","Wisley, Woking, Surrey GU23 6QB","","","","","","United Kingdom"
"Republican Centre for Deposition of Microorganisms of the National Academy of Sciences and Ministry of Education and Science of Armenia","","Arzni str.6, Abovian, , 378510","","","","","","Armenia"
"Collection of Plant Pathogens","","Miczurina 20, Poland, , 60-318","","","","","","Poland"
"Collection of Microorganisms Producing Antibiotics","","Staroscinska 5, Warsaw, 02-516","","","","","","Poland"
"Institute of Enology and Viticulture, Yamanashi University","","Kitashin, Kofu, Yamanashi, 400","","","","","","Japan"
"VTT Biotechnology, Culture Collection","","P.O.Box 1500, , , Fin-02044VTT","","","","","","Finland"
"Grasslands Rhizobium Collection","","Private Bag 3757, Marondera, ,","","","","","","Zimbabwe"
"Weymouth Woods Sandhills Nature Preserve","","North Carolina, Southern Pines","","","","","","USA"
"Archaeology and Palaeontology","","Tananarive, Museum of Folklore","","","","","","Madagascar"
"Instituto de Agronomia","","Arica, Universidad de Tarapaca","","","","","","Chile"
"Fundacao Instituto Oswaldo Cruz","Unknown Primary Contact","Rio de Janeiro, Rio de Janeiro","","","Rio de Janeiro","","","Brazil"
"Dominick Moth and Butterfly Collection","","South Carolina, McClellanville","","","","","","USA"
"Universidade Santa Ursula","","Rio de Janeiro, Rio de Janeiro","","","","","","Brazil"
"Canterbury Museum","","Rolleston Avenue, Christchurch","","","","","","New Zealand"
"Universitat Bonn","","Sammlung der Universitat, Bonn","","","","","","Germany"
"Laboratory of Ichthyology","","Akasaka Imperial Palace, Tokyo","","","","","","Japan"
"Hokkaido University, Laboratory of Marine Zoology","","Faculty of Fisheries, Hokkaido","","","","","","Japan"
"Nagasaki University - Fisheries","","Faculty of Fisheries, Nakasaki","","","","","","Japan"
"Zoological Survey of India","","Western Regional Station, Pune","","","","","","India"
"Zoological Reference Collection, National University of Singapore","","Bukit Timah Road, Singapore 10","","","","","","Singapore"
"Muzeum i Instytut Zoologii","","64 Wilcza St., 00-679 Warszawa","","","","","","Poland"
"Museum Zoologicum Bogoriense","","Gedung Widyasatwaloka, Cibinong Science Center, Jalan Raya Bogor-Jakarta km 46","","","Cibinong","Jawa Barat","16911","Indonesia"
"Staatliches Museum fuer Tierkunde","","Augustusstrasse 2, 801 Dresden","","","","","","Germany"
"Museu Paraense Emilio Goeldi","","Caixa Postal 3999, 66.040 Belm","","","","","","Brazil"
"Institut Royal des Sciences Naturelles de Belgique","","29 Rue Vautier, 1000 Bruxelles","","","","","","Belgium"
"Yokohama National University - Geological Institute","","Geological Institute, Yokohama","","","","","","Japan"
"marwa mokhtar Abd Rabo","","12 Bany ty, Cairo, Cairo, 020","","","","","","Egypt"
"Algotheque du Laboratoire de Cryptogamie","","12 Rue Buffon, Paris, , 75005","","","","","","France"
"Department of Microbiology, Faculty of Science","","Rama 6 Road, Bangkok, , 10400","","","","","","Thailand"
"Collection of Algae of Charles University, Prague","","Benatska 2, Prague 2, , 12801","","","","","","Czech Republic"
"Central Laboratories","","Jaffa Street 86, Jerusalem, ,","","","","","","Israel"
"Collection of Animal Pathogenic Microorganisms","","Hudcova 70, Brno, , CZ-621 32","","","","","","Czech Republic"
"Culture Collection, Microbiology and Cell Biology Laboratory","",", Bangalore, Karnatka, 560012","","","","","","India"
"Sanford Museum Collections","","Fort Mellon Park, Sanford, FL","","","","","","USA"
"Universidade Federal de Santa Catarina","","Santa Catarina, Florianopolis","","","","","","Brazil"
"Paletnologica ed Etnologico dei Padri Francescani","","Chiampo, Museo Paleontologico","","","","","","Italy"
"McGill University, Lyman Entomological Museum","","Quebec, Ste. Anne de Bellevue","","","","","","Canada"
"Institute of Entomology","","Guangdong, Guangzhou (Canton)","","","","","","China"
"Faculty of Agriculture, Entomology Museum","","Erzurum, Ataturk Universitesi","","","","","","Turkey"
"Departamento de Defensa Fitossanitarista","","São Paulo, Jaboticabal","","","","","","Brazil"
"Zoologial Museum Fan Memorial Institute of Biology","","Tsing Hua University, Peiping","","","","","","China"
"Marine Science Institute","","University of the Philippines","","","","","",""
"Laboratory of Fishes","","Shanghai Fisheries University","","","","","","China"
"National Kweiyang Medical College","","Division of Biology, Kweichow","","","","","","China"
"Imperial Fisheries Institute","","Tokyo University of Fisheries","","","","","","Japan"
"Sociedad de Ciencias Naturales &quot;La Salle&quot;","","Apartado Postal 8150, Caracas","","","","","","Venezuela"
"Naturhistorisches Museum, Basel","","Augustinergasse 2, 4001 Basel","","","","","","Switzerland"
"Museo di Zoologia, Instituto di Zoologia e Anatomia Comparata Universita di Torino","","Via Giolitti 34, 10123 Torino","","","","","","Italy"
"Museo di Zoologia","","Universit di Bologna, Bologna","","","","","","Italy"
"Paleontological Collection","","Munster Universtitat, Munster","","","","","","Germany"
"Museum National Historie Naturelle","","Laboratoire de Palaeontologie","","","","","",""
"Department of Scientific and Industrial Research","","Entomology Division, Auckland","","","","","","New Zealand"
"Institute of Marine Biology, National Taiwan Ocean University","","2 Pei-Ning Rd. Keelung  20224","","","","","","Taiwan"
"Culture Collection of Algae at the University of Vienna","","Althanstr. 14, A- 1091 Vienna","","","","","","Austria"
"Centre de Cooperation Internationale en Recherche Agronomique pour le Developpement","","42, rue Scheffer, 75116 Paris","","","","","","France"
"Bacteria collection of National Institute of Public Health, National Medicines Institute, Poland","","Chelmska 30/34, 00-725 Warsaw","","","","","","Poland"
"Gene bank at Bangladesh Jute Research Institute","","Manik Mia Avenue, Dhaka -1207","","","","","","Bangladesh"
"Universidade Federal de Santa Maria, Laboratorio de Herpetologia","","Santa Maria Rio Grande do Sul","","","","","","Brazil"
"Mae Fah Laung University Herbarium","","Tasud Maung, Chiang Rai 57100","","","","","","Thailand"
"National University of Laos","","Dongdok Campus, P.O. Box 7322","","","","","","Laos"
"Austrian Center of Biological Resources and Applied Mycology","","Muthgasse 18, Vienna, , 1190","","","","","","Austria"
"N.P.P","","PO Box 80, Nogueres, , 64150","","","","","","France"
"Department of Biochemistry, Faculty of Medicine, University of Malaya","","50603 Kuala Lumpur, Malaysia","","","","","","Malaysia"
"Department of Microbiology, Faculty of Medicine Siriraj Hospital","","2 Pran-nok, Bangkok, , 10700","","","","","","Thailand"
"Microbiology and Biophysics Charles University","","Vinicni 5, Prague-2, , 12844","","","","","","Czech Republic"
"Research Institute for Brewing and Malting","","Lipova 15, Prague-2, , 12000","","","","","","Czech Republic"
"Department of Biochemistry and Microbiology","","Technicka 3, Prague, , 16628","","","","","","Czech Republic"
"National Collection of Plant Pathogenic Bacteria","","Sand Hutton, York, , Y04 ILZ","","","","","","United Kingdom"
"Forest Research Culture Collection","","Private Bag 3020, Rotorua, ,","","","","","","New Zealand"
"Institut fuer Seefischerei","","Universitat Hamburg, Hamburg","","","","","","Germany"
"Museum of Zoology at the University of Bergen, Vertebrate collections","","Bergen, University of Bergen","","","","","","Norway"
"Joshua Tree National Monument","","California, Twentynine Palms","","","","","","USA"
"Escola Superior de Agricultura","","Rio Grande do Norte, Mossoro","","","","","","Brazil"
"Department of Agriculture and Fisheries","","New Territories, Sheung Shui","","","","","","Hong Kong"
"Museum of Natural History, Beirut","","Beirut, University of Beirut","","","","","","Lebanon"
"Agriculture Canada Research Station","","British Columbia, Summerland","","","","","","Canada"
"Gallery of Natural History and Native Art","","Medlow Bath, New South Wales","","","","","","Australia"
"Department of Vertebrate Zoology","","University of Tng-Hop, Hanoi","","","","","","Viet Nam"
"Zooligical Museum of Science and Art Faculty","","Dicle University, Diyarbakir","","","","","","Turkey"
"Upjohn Culture Collection","","The Upjohn Co. Kalamazoo, MI","","","","","","USA"
"Central Research Laboratories","","Ajinomoto Co. Inc., Kawasaki","","","","","","Japan"
"Museo Zoologico La Specola, Universita di Firenze","","Via Romana 17, 50125 Firenze","","","","","","Italy"
"Macleay Museum, University of Sydney","","Sydney, New South Wales 2006","","","","","","Australia"
"Musee d'Histoire Naturalle","","de Normandie, Friadel, Orbec","","","","","","France"
"AGRITEC, Ltd.","","Zemedelska 16 787 12 Sumperk","","","","","","Czech Republic"
"Instituto Venezolano de Investigaciones Cientificas","","Apartado 21827 Caracas 1020A","","","","","","Venezuela"
"Naturalis Biodiversity Center","","Darwinweg 2, 2333 CR  Leiden","","","","","","Netherlands"
"Szeged Microbiological Collection","","University of Szeged Szeged","","","","","","Hungary"
"Fungal Cultures University of Goteborg","","BOX461, Goteborg, , SE40530","","","","","","Sweden"
"Pusat Veterinaria Farma","","J1. A. Yani 68-70, Surabaya","","","","","","Indonesia"
"Department of Biological Culture Collection","","Kent Ridge Road, , , 119260","","","","","","Singapore"
"Grupo Actinomicetales Merida Facultad de Medicina","","P.O. Box 164, Merida, 5101A","","","","","","Venezuela"
"Landesmuseum Joanneum","","Abteilung fr Zoologie, Graz","","","","","","Austria"
"Museu Nacional de Historia Natural","","Universidade Lisboa, Lisboa","","","","","","Portugal"
"Shirshov Institute of Oceanography","","Academy of Sciences, Moscow","","","","","","Russia"
"Illinois State Museum","","Springfield, Illinois 62703","","","","","","USA"
"University of British Columbia, Spencer Museum","","British Columbia, Vancouver","","","","","","Canada"
"Museum of the Hemispheres","","South Carolona, Goose Creek","","","","","","USA"
"Hunterian Museum","","Glasgow, Glasgow University","","","","","","United Kingdom"
"Universidade Federal da Paraiba","","Paraiba, João Pessoa","","","","","","Brazil"
"Agriculture Canada Research Station, The Aphids of British Columbia","","British Columbia, Vancouver","","","","","","Canada"
"Unidad de Zoologia Aplicada, Departamento de Ecologia","","Comunidad de Madrid, Madrid","","","","","","Spain"
"Oxford University Museum of Natural History","","Parks Road, Oxford, OX1 3PW","","","","","","United Kingdom"
"Fort Hays","","Kansas State College Museum","","","","","",""
"Nationaal Natuurhistorisch Museum Naturalis","","Darwinweg 2, 2333 CR Leiden","","","","","","Netherlands"
"Gothenburg Museum of Natural History (Goteborgs Naturhistoriska Museum)","","Box 7283, SE-402 35 Gteborg","","","","","","Sweden"
"The Central Coffee Research Institute","","Chickmagalur, Pin - 577 117","","","","","","India"
"Panbangred lab, Department of Biotechnology, Mahidol University","","Rama VI Rd., Bangkok 10400","","","","","","Thailand"
"Department of Food Science and Technology, Faculty of Agriculture","",", Chiang Mai, Muang, 50002","","","","","","Thailand"
"New Zealand Reference Culture Collection","","Private Bag, Wellington, ,","","","","","","New Zealand"
"Industrial Microbiology Dublin","","Stillorgan Road, Dublin, 4","","","","","","Ireland"
"Culture Collection of Fungi","","Benatska 2, 128 01 Praha 2","","","","","","Czech Republic"
"Provincial Museum","","Victoria, British Columbia","","","","","","Canada"
"Northern Territory Department of Primary Industry and Fisheries","","Darwin, Northern Territory","","","","","","Australia"
"University of Newcastle","","Newcastle, New South Wales","","","","","","Australia"
"Laboratoire Zoologique","","Facult Des Sciences, Dijon","","","","","","France"
"Canadian Forest Service, Pacific Forest Research Centre","","Victoria, British Columbia","","","","","","Canada"
"Museum of Zoology at the University of Bergen, Invertebrate Collection","","Postboks 7800, 5020 Bergen","","","","","","Norway"
"Universidade Federal de Mato Grosso, Instituto de Biociencias","","Mato Grosso, Cuiabá","","","","","","Brazil"
"West Virginia Department of Agriculture","","West Virginia, Charlestown","","","","","","USA"
"Canadian Forest Service, NRCan","","Newfoundland, Corner Brook","","","","","","Canada"
"Newfoundland Department of Forestry","","Newfoundland, Corner Brook","","","","","","Canada"
"St. Joseph's College, Natural History Museum","","Tamil Nadu, Tiruchirapalli","","","","","","India"
"John May Museum of Natural History","","Colorado, Colorado Springs","","","","","","USA"
"Northern Territory Museum of Arts and Sciences","Gavin Dally","Northern Territory, Darwin","","","Darwin","","","Australia"
"Instituto Agronomico de Campinas","","São Paulo, Campinas","","","","","","Brazil"
"Universidade Estadual de Campinas","","São Paulo, Campinas","","","","","","Brazil"
"Albany Museum","","Cape Province, Grahamstown","","","","","","South Africa"
"Agriculture Canada Research Station","","New Brunswick, Fredericton","","","","","","Canada"
"Department of Zoology, University Museum","","University of Tokyo, Tokyo","","","","","","Japan"
"Wistar Institute of Anatomy","","Philadelphia, Pennsylvania","","","","","","USA"
"Department of Zoology, University Museum","","University of Tokyo, Tokyo","","","","","","Japan"
"Museo de Ciencias Naturales de la UNELLEZ en Guanare","","Guanare, Estado Portuguesa","","","","","","Venezuela"
"Gulf Coast Research Laboratory","","Ocean Springs, Mississippi","","","","","","USA"
"School of Veterinary Medicine, Faculty of Agriculture","","University of Tokyo, Tokyo","","","","","","Japan"
"Biologicky Ustav","","Czech Akademie Ved, Prague","","","","","","Czech Republic"
"Museo Nacional de Historia Natural","Javier Gonzalez","Casilla de Correo 399","25 de Mayo 582, Montevideo","","Montevideo","Montevideo","11000","Uruguay"
